id,comments,star levels
32,洛阳白云山位于河南省洛阳市嵩县南部伏牛山，是国家级森林公园、国家级自然保护区、国家5A级旅游景区。洛阳汽车站每天7：30分，13：30，各有一班直达车前往白云山风景区。票价：44元。车程约4.5小时。另外也可以乘坐洛阳至车村的客车，票价31元，到白云山景区路口下车，然后公交或打车到景区门口。返回洛阳市时景区内有两班车12:30和13:30，票价45元。一般人比较多，提前到会比较好。人多可选择包车，比较方便。查看全部,5
33,满意,5
34,玉皇顶景色还是不错的，瀑布太累了没去，其他的一般，门票加景区交通索道滑道真心花费不少,5
35,最近平时都忙于工作，一直想和大哥嫂子一家出去玩玩，散散心，刚好这几天大家都不忙，就在一起商量了一下，决定来一场说走就走的旅行！我们是自驾游，出去玩习惯在驴妈妈APP上面订票，这上面有好多景区，基本上能了解一下每个景区的地点、路程、和门票价格等，方便快捷，而且这上面订票非常优惠！有了这个软件，觉得安排行程好方便啊！我们打算玩两天，就提前定了票，头一天下午就开始往景区赶。驾车大约三个半小时，就到景区大门口了，先找了一家宾馆提前安顿好，第二天开始玩！第二天一大早就起床了，吃过早餐后，我们就往景区售票大厅换票，谁知道这里网上订票没有专用窗口，只有一台自助取票机，而且取票机坏了，网上订票的游客们换不了票，全部滞留在大厅！我勒个去！最让人生气的是修机器的人还休假了！非专业人员一直处理不好，也没有人为网上订票的乘客协调景区验票处，耽误游客一个多小时！你说说，这么大一个景区，就这样的服务？把大家当初出来游玩的好心情完全搞没了！还生了一肚子气！最后找内部人员帮我在电脑上操作验证，可是验证的时候景区这边断网了！不显示验证结果，可是我的手机上面却发来信息说已经验证成功，景区这边不让进！真是可气、可恼！完全没了心情！最后在我的再三要求下，景区工作人员才和验票处协调！真是态度不强硬不行啊！服务质量真是无语了！要让瑞贝卡的老郑知道了，统统让你们回家！进去后上了大巴车，一路都是盘山公路，一边靠山，一边是悬崖，司机拐弯时候看悬崖有点眩晕！有点害怕，老觉得一侧的车轮不挨地，要翻过去一样，吓死了！不过这些司机都是经过专业训练的老师傅，安全问题肯定是有保障的，很刺激！不过说实话，白云山这边景区是挺大，还有好多地方没开发，景区的亮点不多，除了云比较有特色，瀑布太少，没有云台山的水好玩！希望有机会再来时候，景区能开发的更好一点！查看全部,3
36,原价，70元的成人票，55元拿下，感谢驴妈妈旅游网给我的优惠，并送我5元的优惠价。景区换票十分便利，由于我们下单较晚，没订上景区的车票，是到达景区后购买的。景区内车票没有优惠。,5
37,【点评有奖第12季】帮家人定哒，家人都玩得很开心，我就是最满足的啦，谢谢驴妈妈为我们省时省力,4
38,5A级景区门票75元，个人感觉真心不贵。70元的车票眨一看有点贵，但坐了车以后感觉还是划算的，先从购票处到换乘处，再乘景区的公交巴士到玉皇顶十多公里的山路，路陡且窄司机师傅开的很稳，只是到玉皇顶没有缆车有点遗憾，阶梯很窄，游客上下有点紧张。从玉皇顶坐车到白云湖5分钟，清明节人不多，下了小雨，景很美！再乘公交到九龙瀑布，来回转车，一人一坐很安全！非常好的景色查看全部,5
39,白云山位于广东广州市的东北部，为南粤名山之一，自古就有“羊城第一秀”之称。每逢九九重阳佳节，广州人民更以登白云山为乐事。，门票5块，景区有索道、蹦极项目等，索道还可以事先在大众点评团购，温馨提示：感觉没必要去山顶（还要交单独的门票，山顶没什么东西看），门票才五元，学生票还半价，如果还是想去山顶看看，建议坐索道上，从健康步道下。爬回歇会儿，带点干粮和饮用水，爬山可是体力活，可带2条毛巾在包里，山下有家烤排骨小店，味道还不错。查看全部,5
40,在学校上学时，我曾经骑行去过这儿，一个很美的景区，各种树还有各种鸟，还有很漂亮的瀑布。早上很安静，静悄悄的只能听到一两声鸟叫声；晚上迎着晚霞，感觉好像在梦境中，我们在山林中穿行，歌声远远飘荡，景美，我们玩的更美！怀念那次旅行,4
41,"山清水秀,交通便利,简直是另外一个世外桃源啊.",4
42,当时和同时起得很早去看日出，非常的壮观。。。之后又去看了瀑布，水流很湍急的，但是水很清澈，很喜欢~,4
43,旅社环境好差啊，别的还不错，应该继续努力。...................,4
44,进山门要收钱，每人50，快赶上门票了，赶上抢钱的了,4
45,太宰游客了；自己有车不让进大门，换乘旅游公司车，仅十几公里每人车费50园，太坑人了。什么全国最美的地方，就是全国最宰人的地方。,4
46,玉皇峰上面看风景不错，尤其是大早上看日出不过上面有点冷,4
47,绝对是一个非常好的去处，而且现在又被评为5A级风景区，瀑布，日出，森林氧吧，原始森林，应有尽有！,4
48,好的不得了，百闻不如一见，就是离洛阳倒是蛮远的，坐车大概要4，5个小时，因此路途有些枯燥，大半的体力已经消耗在路上,4
