id,comments,star levels
34,不给满分因为订的导游服务实在不行，为了一个迟到的人拖延整个团队，这么热的天在太阳底下等着。老人和孩子谁吃不消，最后决定退出团队，自己游玩。故宫真的太大了，如果耐下心逛的话至少五个小时。我们也就随便看了一圈,4
35,在驴妈妈上订票真方便，直接到检票口刷身份证即可,5
36,大福晋导游很优秀，讲解很到位，一家人很开心,5
37,期待已久的行程，多亏有了郭郭导游的讲解，了解了不少隐藏在这红墙黄瓦之后的故事，不虚此行！,5
38,故宫很大，皇帝的生活真的很舒服，真的让人向往,5
39,非常方便，进入只需要刷身份证就行了！下次继续！,5
40,非常好！但是下午半天时间有点短，建议上午去下午出，至少需要一天时间,5
41,导游晴格格讲的很赞哦！！！凑够20字啊啊啊！,5
42,晴格格带团不错，总体挺满意的，下次来还在这订！,5
43,不错不错不错不错不错不错不错不错，人多太多了,5
44,人实在是太多了，其他都蛮好、现在故宫正在整修。所以显得格外拥挤…下次还想再去北京北京唯一2点不舒服的地方就是交通和气候，气候实在是太干燥了…,4
45,漂亮又大，人又多，所有的建筑都保存完好！,5
46,确实蛮震撼的宫殿，古人的智慧和技艺值得称赞。,5
47,不错，可以更深入的了解历史，感受皇家文化,5
48,北京5月份天气已经比较热，4月份应该气温会比较好。,5
49,虽然不是旺季但是人还是更多，但是玩的还是很开心的。,5
50,淡季人都太多，俩个附带的珍宝馆都没去看，实在是不想排长队了，其他都可以。,4
51,春节带着全家老小，进皇城根儿，走进紫禁城，老人感到的激动和兴奋，一切累都值得。,5
52,很好的一次体验，提前预定，现场不给买票的，安装预定的日期时间段进去，故宫真的不枉走一槽呀！紫荆城，哈哈，第二次游玩，不一样的体验,5
53,故宫很大，一砖一瓦都是历史变迁的见证。期待下次再去细细看看,5
54,皇帝住的地方当然要去啦，气势如虹。参观的人也比较多。,5
55,大福晋导游实在太给力了！讲解很地道！正宗地道北京人！八旗后裔！谢谢～～～,5
56,刷身份证入宫方便，微故宫有时会离线，改善后体验会更佳。,5
57,故宫很大，不适合带小宝宝去，加上暑假北京很热！,5
58,三个小时基本逛完，还不错，有很多馆没开，还有正维修的，总体感觉不错,5
59,网上订票很方便快捷，不用排队买票，退票也很方便。,5
60,导游讲解的不错！！！！！！！！！！！！！,5
61,门票加人工导游讲解十足2个半小时。所有中轴线上的建筑和西侧部分建筑都进行讲解。可以先听讲解，有兴趣的结束后再独自细看。,5
62,不错，讲解风趣，时间线路安排合理，对游客提供帮助，好评,5
63,挺好的，陪父母看看，为了看在故宫过大年的展览。,4
64,买票很方便非常好，驴妈妈非常方便，进景区自己刷身份证就可以了，故宫非常值得一去,5
65,这种景点一辈子总归要去一次的，没啥好多介绍的，要注意的是，入宫必须弄个解说器，或者人工讲解，如果有蓝牙耳机的，可以带上，然后园区内识别个小程序，也有全部的解说，只是不能同步必须自己走到哪，然后点开,5
66,人真多，只能在外面逛一逛，宫殿里面是不能进入的。,5
67,提前预定的，还定了讲解。去的时候遇到下雪，太幸运了。故宫雪景太美了。红墙白雪！人确实也挺多，第三次去故宫了，每次都有不一样的收获。威严的大殿，让人不禁回想起千年前文武百官上朝的盛大场面。,5
68,很好的一次体验，导游刘文韬热心又幽默，讲解的非常细致,5
69,看了国家宝藏后，被一件件历史文物深深吸引了，尤其感叹文物背后的故事，由此开启了北京之旅，去故宫感受下，紫禁城里过大年的韵味，过年的故宫，人很多，不过还在故宫也大，只要不是中轴线上，人流还算能接受。看到了万寿灯，号称当初要耗费8000人力才能搭起这个灯，虽然时光流逝，还是能依稀想象到当初的气场气势，后来又转到对面景山公园，需要出故宫后，再买票进去，良心价，还能刷公交卡，只为了爬到上面，一睹故宫全貌，不虚此行查看全部,5
70,不好意思这几天一直在外面玩没有网来晚了故宫这个票订的很满意喜欢海华导游姐姐的讲解内容丰富这是最是最满意的一次订单值得推荐,5
71,无需取票，非常便捷，直接网上支付，不用去景点排队了,5
72,取票方便游玩也很愉快感谢平台给予我们客户带来的方便,5
73,方便，可刷身份证进入。节假日购票紧张，最好在网上购票。,5
74,整体感觉很好！建筑宏伟大气！唯一遗憾就是有此地方不让游客参观，未能尽兴！,4
75,第一次使用驴妈妈订票非常方便期待下次出行,5
76,非常方便，不用取票直接刷身份证就好，送了电子导览可能人多信号不太好老是断，每天八万人限流很正确，只要不去中轴线挤热闹，慢慢看慢慢逛故宫地方那么大不会觉得拥挤，只在钟表馆排了会儿队可以接受，感谢退休的单院长开创了那么多文创产品，冰窖量少了点性价比还行，设置了那么多长椅，还有厕所等等，一天逛不够啊，只能下次继续了,5
77,选的带讲解的，孔导讲解生动就是小孩子太小没什么兴趣，散团的时候也给我们一些美食和手伴的建议很不错。,4
78,方便，直接刷身份证就行，方便，直接刷身份证就行，选择驴妈，ok的,5
79,如果要去故宫，提早在网上购票，售票口很有可能买不到票，每日限售8万张票。,5
80,很棒，实现了一直没去故宫的梦想，导游也不错，值得再去,4
81,解说很清楚，小朋友很喜欢，边走边学。只是太热，否则真的可以再多待一会儿时间。,5
82,现在的故宫跟以前比有了很大的变化，感觉年轻了很多，但是为一不变的就是人还是很多很多,5
83,第一感觉人很多，不是一般的多，听导游说已经限流了，不然人还要多。顺便提一下导游还是不错的，逛这种有文化底蕴的地方还是要有导游在，不然就什么也看不懂！,4
84,非常棒的出行体验，入园很方便，凭身份证即可，紫禁城不愧为皇家府邸，气势恢宏，层台累榭，真是建筑学集大成！,5
85,三分看七分听，讲的还行吧。都是散客拼团，写着中午时间是没有的但实际旅游旺季。人满了也发团的！好评，推荐报！,5
86,不错的一次出行，身份证刷直接进入，下次还会考虑的。,5
87,非常不错，爱国主义教育必去地打卡之一，不虚此行,5
88,雄伟壮观，气势恢宏，跟着讲解器跑完整个故宫，虽然很晒，人很多，但是不虚此行,5
89,方便便捷，很好很不错的！方便便捷，很好很不错的！,5
90,方便便捷，很好很不错的！方便便捷，很好很不错的！,5
91,很方便，就是导游一般般，感觉应该是做导游那多久吧,4
92,满意的一次出行，早早的来到了故宫，人真不少，但是景点很大，各种历史各种宫殿，讲解师杨颖慧小姐讲的非常生动，一路带着我们到各大宫殿深入讲解，下次一定再来！,5
93,风景不错，很美，很漂亮！曾经是“朕”的地方，当然很美，很漂亮啦！哈哈！,5
94,入园非常方便，直接拿身份证就行，周五去的，人不多，体验很好,5
95,可以，全部开放更好。都不是全部开放的。有些还不给入,5
96,在驴妈妈旅游网上订的，很方便，快捷方便，赞,5
97,用驴妈妈网最高性价比高，景区不错，方便快捷,5
98,人一直都很多，不用取票，刷身份证就行，很方便，点赞，节省了排队时间，很不错,5
99,谢谢！景点旅游人多，餐饮汉堡没有加热。礼品包括一家挨一家的全聚德和稻香村不知道是不是正宗。,3
100,京游阿哥的导游很负责，讲解详细，只是天太热，孩子有点没耐心，提早出去了。,4
