id,comments,star levels
38,感觉恩施大峡谷门票确实太贵了，自费前往也300多每人，纯门票，因为最后一段扶梯下行需要另外买票。九寨沟这些真正世界级自然遗产门票也才两百多，客观而言，如果门票降到100元左右才算合理，推不太推荐给朋友。,3
39,不好，什么都没有，不值得这个价格，…………,1
40,这是第二次使用驴妈妈了，第一次实在深圳的华侨城，真心不错哦！使用方便还有优惠，以后出门必不可少的平台了，哈哈哈哈,5
41,满意,5
42,满意,5
43,很好的一次购票活动，第一次选择网上购票，没想到在驴妈妈的网上关于订票非常的便捷，绝对的好评！！！！下次还会选择在这里购票的！！！,5
44,一般,3
45,很好很好很好很好很好很好很好很好很好的朋友,5
46,用驴妈妈订票方便优惠快捷，下次订票还是选驴妈妈，大峡谷环境不错，有特色！小吃也很好吃！,5
47,满意,5
48,很划算，据说驴妈妈上买的票比导游拿到的还优惠不少呢！,5
49,提前一天预定很方便，景点也很好。使用了卷优惠¥15非常划算点赞。,5
50,满意,5
